Theta_1,Theta_2,Theta_3,mass,EA,Peak_Force,EA_Mode
47.77393034,22.7178543,26.88040657,2.10E-05,0.059582,0.048325,progressive_failure
89.73791448,44.55269236,18.36433637,2.10E-05,0.055744,0.041879,progressive_failure
39.27678639,60.08326334,5.681062108,2.10E-05,0.075546,0.066728,progressive_failure
76.84038729,87.93884248,40.1549697,2.10E-05,0.055812,0.042184,progressive_failure
3.046831023,28.80304299,65.28894464,2.10E-05,0.032768,0.025327,progressive_failure
1.314505627,84.95342625,20.19901478,2.10E-05,0.054358,0.039626,progressive_failure
73.66181463,31.78835294,85.41660251,2.10E-05,0.055812,0.042184,progressive_failure
64.18794561,56.73529761,32.13963985,2.10E-05,0.054788,0.038843,progressive_failure
23.02696589,49.99685733,75.54496458,2.10E-05,0.04696,0.030201,progressive_failure
51.77365894,13.34869838,10.32738221,2.10E-05,0.052118,0.044231,progressive_failure
85.90032055,78.38029386,63.62875834,2.10E-05,0.055812,0.042184,progressive_failure
13.50958005,41.2157775,44.82291947,2.00E-05,0.036962,0.028203,progressive_failure
20.34318309,61.90038753,61.4068609,2.00E-05,0.046465,0.028761,progressive_failure
82.93390366,9.795494713,35.564273,2.10E-05,0.052456,0.033221,progressive_failure
43.28611261,72.95174715,22.9357614,2.00E-05,0.050415,0.03502,progressive_failure
72.49733057,55.99391953,12.35194551,2.00E-05,0.053973,0.040393,progressive_failure
9.861806212,18.47234733,81.78278455,2.00E-05,0.03848,0.030103,progressive_failure
8.642377183,68.74387208,53.88972899,2.20E-05,0.061604,0.045831,progressive_failure
71.25592939,36.66053248,29.10731119,2.10E-05,0.048514,0.030883,progressive_failure
61.07867452,51.78621881,88.36086854,2.10E-05,0.055812,0.042184,progressive_failure
44.83515244,19.86767412,17.16670792,2.00E-05,0.065919,0.048476,progressive_failure
31.76100212,66.13002051,41.79078394,2.00E-05,0.059351,0.041731,progressive_failure
47.96143737,8.378155204,66.57319637,2.00E-05,0.034245,0.025514,progressive_failure
84.19738479,83.27392705,7.295225551,2.10E-05,0.055812,0.042184,progressive_failure
21.54074675,24.98373167,78.48938081,2.10E-05,0.051781,0.036185,progressive_failure
12.29015152,45.78902266,5.128084905,2.20E-05,0.054379,0.058948,progressive_failure
84.65891887,14.74389089,69.28550287,2.10E-05,0.052115,0.037617,progressive_failure
53.38861674,74.17262818,38.15696614,2.10E-05,0.0554,0.041974,progressive_failure
24.57600622,42.61113899,58.72612693,2.10E-05,0.044979,0.02967,progressive_failure
33.82674471,89.183105,79.10222257,2.10E-05,0.055812,0.042184,progressive_failure
62.5948961,30.37105886,14.94480997,2.00E-05,0.058254,0.047164,progressive_failure
74.92529626,60.9651507,46.09776017,2.10E-05,0.055812,0.042184,progressive_failure
2.512068786,2.33987214,25.52860474,2.20E-05,0.000269,1.50E-05,progressive_failure
4.288318204,58.68807334,70.43996369,2.00E-05,0.036253,0.021609,progressive_failure
78.05990199,4.616971286,1.360681783,2.10E-05,0.059784,0.046849,progressive_failure
65.07703034,86.54347815,59.85895875,2.10E-05,0.055812,0.042184,progressive_failure
37.66174243,33.01070617,34.36793335,2.00E-05,0.063981,0.049555,progressive_failure
55.12383909,40.3230111,83.06832508,2.10E-05,0.055812,0.042184,progressive_failure
88.54043682,48.41761909,24.55121364,2.10E-05,0.058519,0.042502,progressive_failure
14.72576553,12.11518616,50.04223368,2.10E-05,0.018274,0.011271,progressive_failure
19.09826076,81.33191175,33.57931084,2.10E-05,0.06033,0.04609,progressive_failure
80.30075544,26.92572651,52.03359257,2.10E-05,0.058979,0.045751,progressive_failure
46.22480434,64.55055336,21.66033656,2.10E-05,0.059172,0.044537,progressive_failure
28.56473224,9.957600553,86.5263618,2.10E-05,0.053752,0.03841,progressive_failure
40.97955015,53.71729187,61.90507494,1.90E-05,0.043627,0.031751,progressive_failure
68.10617974,70.3343683,73.84288905,2.10E-05,0.055812,0.042184,progressive_failure
6.859223926,35.07014321,8.976869183,2.10E-05,0.024825,0.035512,progressive_failure
5.885725971,83.73200702,76.20565427,2.10E-05,0.056544,0.042397,progressive_failure
58.21221334,67.1259129,65.6932951,2.10E-05,0.055812,0.042184,progressive_failure
29.00297728,51.22977736,19.45275726,2.10E-05,0.066897,0.057154,progressive_failure
